cultivar,source,state,county,sample_id,sample_date,sample_year,total_cbd,total_thc,total_cbg,cbd_thc_ratio
Pepe Le Pew, Illinois Hemp Project,Illinois, Kendall,299, Aug 21,2020,6.89,0.28,0.44,24.82
Pepe Le Pew, Illinois Hemp Project,Illinois, Kendall,150, Sep 19,2020,13.97,0.58,0.41,23.94
Pipeline, Kayagene,Wisconsin, Columbia,231, Aug 18,2020,2.57,0.14,0.22,18.74
Pipeline, Kayagene,Wisconsin, Columbia,231, Aug 18,2020,2.57,0.14,0.22,18.74
Pipeline, Kayagene,Wisconsin, Columbia,213, Aug 10,2020,1.53,0.09,0.09,17.75
Pipeline, Kayagene,Wisconsin, Columbia,13, Sep 14,2020,4.69,0.21,0.2,22.45
Pipeline, Kayagene,Wisconsin, Columbia,336, Sep 1,2020,4.32,0.21,0.22,20.8
Pipeline, Kayagene,Wisconsin, Walworth,292, Aug 27,2020,3,0.17,0.12,17.73
Prairie Wine, Eastern Plains Hemp,Wisconsin, Walworth,116, Oct 15,2020,6.77,0.25,0.18,27.41
Prairie Wine, Eastern Plains Hemp,Wisconsin, Columbia,462, Sep 14,2020,4.89,0.18,0.2,27.01
Prairie Wine, Eastern Plains Hemp,Wisconsin, Walworth,676, Oct 1,2020,6.13,0.25,0.32,24.7
Prairie Wine, Eastern Plains Hemp,Wisconsin, Columbia,55, Sep 28,2020,7.24,0.27,0.12,26.68
Prairie Wine, Eastern Plains Hemp,Wisconsin, Columbia,345, Sep 1,2020,2.29,0.12,0.15,19.09
Prairie Wine, Eastern Plains Hemp,Wisconsin, Walworth,522, Sep 17,2020,6.94,0.28,0.38,25.01
Presidential, Sulcanna,Illinois, Rock Island,188, Nov 9,2020,7.5,0.29,0.07,26.23
Presidential, Sulcanna,Illinois, Rock Island,187, Nov 9,2020,6.33,1.37,0.07,4.62
Presidential, Sulcanna,Illinois, Rock Island,367, Sep 3,2020,3.44,0.42,0.25,8.1
Presidential, Sulcanna,Illinois, Saline,350, Aug 26,2020,2.21,0.14,0.08,15.6
Presidential, Sulcanna,Illinois, Rock Island,709, Oct 6,2020,9.82,0.34,0.19,28.55
Presidential, Sulcanna,Illinois, Rock Island,589, Sep 23,2020,8.68,0.65,0.39,13.29
Presidential, Sulcanna,Illinois, Champaign,577, Sep 23,2020,2.45,0.14,0.14,17.94
Presidential, Sulcanna,Illinois, Saline,552, Sep 12,2020,5.29,0.25,0.1,20.8
Proof of Life, The Plug Supply,Wisconsin, Jefferson,379, Sep 11,2020,6.99,0.27,0.47,25.47
Pure CBD, PureGene,Wisconsin, Columbia,700, Oct 5,2020,11.13,0.41,0.42,27.45
Pure CBD, PureGene,Wisconsin, Columbia,456, Sep 14,2020,3.51,0.13,0.15,27.25
Pure CBD, PureGene,Wisconsin, Columbia,441, Sep 14,2020,1.54,0.11,0.03,13.79
Pure CBD, PureGene,Wisconsin, Columbia,630, Sep 28,2020,7.1,0.24,0.39,29.56
Pure CBD, PureGene,Wisconsin, Columbia,96, Oct 13,2020,11.43,0.38,0.61,29.74
Pure CBD, PureGene,Wisconsin, Walworth,612, Sep 24,2020,6.18,0.29,0.56,21.57
Pure CBD, PureGene,Wisconsin, Walworth,373, Sep 4,2020,5,0.21,0.2,23.82
Pure CBD, PureGene,Wisconsin, Walworth,91, Oct 7,2020,10.18,0.37,0.64,27.71
Pure CBD, PureGene,Wisconsin, Walworth,668, Oct 1,2020,8.61,0.35,0.29,24.57
Pure CBD, PureGene,Wisconsin, Walworth,141, Oct 22,2020,11.46,0.41,0.64,28.16
Pure CBD, PureGene,Wisconsin, Columbia,559, Sep 21,2020,8.17,0.3,0.47,27.12
Pure CBD, PureGene,Wisconsin, Walworth,526, Sep 17,2020,2.89,0.15,0.3,19.82
Pure CBD, PureGene,Wisconsin, Walworth,515, Sep 17,2020,8.2,0.36,0.35,23.07
Pure CBG, PureGene,Wisconsin, Walworth,677, Oct 1,2020,0.03,0.08,3.62,0.38
Pure CBG, Front Range Biosciences,Wisconsin, Columbia,460, Sep 14,2020,0,0.02,2.34,0
Pure CBG, PureGene,Wisconsin, Columbia,458, Sep 14,2020,0.09,0.03,1.93,3.06
Pure CBG, PureGene,Wisconsin, Columbia,54, Sep 28,2020,0,0.03,2.68,0
Pure CBG, Front Range Biosciences,Wisconsin, Walworth,108, Oct 15,2020,0.06,0.04,4.07,1.51
Pure CBG, PureGene,Wisconsin, Columbia,425, Sep 11,2020,2.51,0.12,0.03,20.76
Pure CBG, Front Range Biosciences,Wisconsin, Columbia,48, Sep 28,2020,0,0.04,3.34,0
Pure CBG, Front Range Biosciences,Wisconsin, Walworth,667, Oct 1,2020,0.03,0.08,3.52,0.41
Pure CBG, PureGene,Wisconsin, Columbia,344, Sep 1,2020,0,0,1.4, null
Pure CBG, Front Range Biosciences,Wisconsin, Columbia,339, Sep 1,2020,0,0,2.09, null
Pure CBG, Front Range Biosciences,Wisconsin, Walworth,721, Oct 7,2020,3.34,0.17,2.37,19.76
Pure CBG, PureGene,Wisconsin, Walworth,745, Oct 15,2020,0,0.09,4.81,0
Pure CBG, Front Range Biosciences,Wisconsin, Walworth,604, Sep 24,2020,1.25,0.1,2.55,13.12
Pure CBG, PureGene,Wisconsin, Columbia,32, Sep 21,2020,0,0.09,4.51,0
Pure CBG, Front Range Biosciences,Wisconsin, Walworth,521, Sep 17,2020,0.06,0.08,3.02,0.68
Pure CBG, Front Range Biosciences,Wisconsin, Columbia,258, Aug 24,2020,0,0.04,1.35,0
Pure CBG, PureGene,Wisconsin, Walworth,516, Sep 17,2020,0.04,0.09,3.77,0.44
Pure CBG, PureGene,Wisconsin, Walworth,135, Oct 22,2020,4.38,0.19,2.26,22.58
Queen Dream, Blue Forest Farms,Wisconsin, Walworth,714, Oct 7,2020,7.33,0.25,0.38,29
Queen Dream, Blue Forest Farms,Wisconsin, Columbia,461, Sep 14,2020,4.46,0.18,0.21,24.15
Queen Dream, Blue Forest Farms,Wisconsin, Columbia,49, Sep 28,2020,6.52,0.22,0.24,29.68
Queen Dream, Blue Forest Farms,Wisconsin, Walworth,615, Sep 24,2020,6.28,0.26,0.44,24.39
Queen Dream, Blue Forest Farms,Wisconsin, Columbia,342, Sep 1,2020,2.01,0.13,0.13,15.52
Queen Dream, Blue Forest Farms,Wisconsin, Walworth,138, Oct 22,2020,6.93,0.18,0.12,39.48
Quick Kush, Cheyenne Mountain Seed Company,Wisconsin, Waukesha,415, Sep 10,2020,3.14,0.14,0.12,22.83
Quick Kush, Cheyenne Mountain Seed Company,Indiana, Starke,405, Sep 8,2020,3.12,0.15,0.08,20.91
Quick Kush, Cheyenne Mountain Seed Company,Wisconsin, Waukesha,364, Sep 4,2020,2.32,0.12,0.11,19.42
Quick Kush, Cheyenne Mountain Seed Company,Wisconsin, Waukesha,618, Sep 25,2020,8.28,0.31,0.13,26.96
Quick Kush, Cheyenne Mountain Seed Company,Wisconsin, Waukesha,684, Oct 2,2020,8.72,0.31,0.17,27.75
Quick Kush, Cheyenne Mountain Seed Company,Indiana, Starke,298, Aug 26,2020,2.5,0.1,0.03,26.05
Quick Kush, Cheyenne Mountain Seed Company,Wisconsin, Waukesha,746, Oct 15,2020,8.53,0.25,0.09,33.56
Quick Kush, Cheyenne Mountain Seed Company,Wisconsin, Waukesha,294, Aug 27,2020,2.22,0.11,0.07,21
Quick Kush, Cheyenne Mountain Seed Company,Wisconsin, Waukesha,539, Sep 17,2020,3.57,0.13,0.21,27.35
Refined Wine, Illinois Hemp Project,Illinois, Kendall,144, Oct 21,2020,8.27,0.28,0.08,29.65
Refined Wine, Illinois Hemp Project,Illinois, Kendall,143, Oct 21,2020,6.35,0.24,0.06,26.2
Relief CBG, Sourced in Nature,Wisconsin, Vilas,492, Sep 15,2020,0,0.09,7.88,0
Relief CBG, Sourced in Nature,Wisconsin, Trempealeau,450, Sep 14,2020,0,0.17,9.27,0
Relief CBG, Sourced in Nature,Wisconsin, Trempealeau,384, Sep 8,2020,0.03,0.1,8.4,0.26
Relief CBG, Sourced in Nature,Wisconsin, Vilas,84, Oct 5,2020,0.03,0.1,6.73,0.26
Relief CBG, Sourced in Nature,Wisconsin, Trempealeau,332, Sep 3,2020,0,0.1,6.78,0
Remedy Kush, Illinois Hemp Project,Illinois, Kendall,42, Sep 22,2020,5.09,0.17,0.2,30.33
Remedy Kush, Illinois Hemp Project,Illinois, Kendall,41, Sep 22,2020,4.71,0.18,0.22,25.85
Ruby #1, Green Lynx Farms,Wisconsin, Walworth,112, Oct 15,2020,7.44,0.26,0.35,29.03
Ruby #1, Green Lynx Farms,Wisconsin, Columbia,427, Sep 11,2020,4.42,0.4,0.31,11.07
Ruby #1, Green Lynx Farms,Wisconsin, Columbia,25, Sep 21,2020,6.15,0.24,0.41,26.04
Ruby #1, Green Lynx Farms,Wisconsin, Walworth,661, Oct 1,2020,6.8,0.25,0.29,27.47
Ruby #1, Green Lynx Farms,Wisconsin, Columbia,262, Aug 24,2020,3.01,0.14,0.16,21.04
Ruby #1, Green Lynx Farms,Wisconsin, Walworth,519, Sep 17,2020,3.88,0.18,0.3,21.79
SB1, Sunrise Genetics,Wisconsin, Walworth,246, Aug 20,2020,2.46,0.13,0.31,19.09
SB1, Sunrise Genetics,Wisconsin, Columbia,27, Sep 21,2020,6.34,0.24,0.29,26.37
SB1, Sunrise Genetics,Wisconsin, Walworth,375, Sep 4,2020,5.95,0.26,0.34,22.98
SB1, Sunrise Genetics,Wisconsin, Columbia,10, Sep 11,2020,6.81,0.28,0.23,24.6
SB1, Sunrise Genetics,Wisconsin, Walworth,17, Sep 17,2020,7.53,0.31,0.29,24.63
SB1, Sunrise Genetics,Wisconsin, Columbia,266, Aug 24,2020,3.48,0.19,0.25,18.44
Sangria, Trilogene Seeds,Illinois, Boone,600, Sep 23,2020,3.44,0.16,0.32,21.38
Sangria, Trilogene Seeds,Illinois, Boone,94, Oct 7,2020,5.4,0.2,0.29,26.91
Sangria, Trilogene Seeds,Illinois, Boone,175, Oct 28,2020,4.1,0.16,0.2,26.12
Sangria, Trilogene Seeds,Illinois, Boone,536, Sep 16,2020,3.34,0.14,0.35,24.72
Scarlet, Colorado Hemp Project,Illinois, Warren,740, Oct 7,2020,5.67,0.14,0.11,39.78
Scarlet, Colorado Hemp Project,Illinois, Warren,685, Sep 30,2020,9.68,0.38,0.4,25.42
Serenity CBG, Phytonyx,Illinois, Warren,739, Oct 7,2020,4.07,0.12,2.03,35.21
Silver Lining, Eastern Plains Hemp,Wisconsin, Columbia,469, Sep 14,2020,2.73,0.12,0.12,22.92
Silver Lining, Eastern Plains Hemp,Wisconsin, Walworth,117, Oct 15,2020,8.19,0.3,0.44,26.9
Silver Lining, Eastern Plains Hemp,Wisconsin, Walworth,680, Oct 1,2020,7.19,0.29,0.4,25.16
Silver Lining, Eastern Plains Hemp,Wisconsin, Columbia,97, Oct 13,2020,12.19,0.4,0.58,30.39
Silver Lining, Eastern Plains Hemp,Wisconsin, Columbia,636, Sep 28,2020,9.06,0.34,0.36,27.01
Silver Lining, Eastern Plains Hemp,Wisconsin, Walworth,514, Sep 17,2020,3.84,0.16,0.24,24.73
Siskiyou Gold, Phytonyx,Illinois, Tazewell,482, Sep 14,2020,6.68,0.3,0.44,21.95
Siskiyou Gold, Phytonyx,Illinois, Warren,736, Oct 7,2020,4.01,0.1,0.08,40.88
Siskiyou Gold, Phytonyx,Illinois, Tazewell,210, Aug 7,2020,6.02,0.25,0.14,24.24
Siskiyou Gold, Phytonyx,Illinois, Warren,688, Sep 30,2020,7.86,0.29,0.13,26.86
Siskiyou Gold, Phytonyx,Illinois, Tazewell,325, Aug 31,2020,6,0.26,0.24,22.73
Siskiyou Gold, Phytonyx,Illinois, Tazewell,78, Oct 5,2020,10.9,0.42,0.58,26.13
Skunkberry, Illinois Hemp Project,Illinois, Kendall,621, Sep 22,2020,2.13,0.15,0.17,14.22
Skunkberry, Illinois Hemp Project,Illinois, Kendall,142, Oct 21,2020,10.06,0.35,0.17,28.77
Socati, Boring Hemp Co,Wisconsin, Columbia,15, Sep 14,2020,5.44,0.59,0.3,9.21
Socati, Boring Hemp Co,Wisconsin, Columbia,233, Aug 18,2020,2.07,0.15,0.23,13.53
Socati, Boring Hemp Co,Wisconsin, Columbia,212, Aug 10,2020,0.82,0.12,0.06,6.89
Socati, Boring Hemp Co,Wisconsin, Walworth,6, Sep 11,2020,5.26,0.25,0.28,20.87
Socati, Boring Hemp Co,Wisconsin, Columbia,333, Sep 1,2020,3.81,0.31,0.23,12.25
Socati, Boring Hemp Co,Wisconsin, Walworth,290, Aug 27,2020,3.97,0.18,0.2,22.36
Sour G, Oregon CBD,Illinois, Will,302, Sep 1,2020,0.03,0.09,7.74,0.33
Sour Space Candy, West Star Hemp Co,Wisconsin, Waukesha,254, Aug 24,2020,3.93,0.19,0.18,20.85
Sour Space Candy, Hemp 4 heros (H4H),Wisconsin, Dodge,101, Oct 15,2020,6.59,0.26,0.31,25.74
Sour Space Candy, West Star Hemp Co,Wisconsin, Waukesha,5, Sep 9,2020,8.64,0.33,0.36,26
Sour Space Candy, Oregon CBD,Illinois, Warren,733, Oct 12,2020,3.85,0.06,0.08,59.8
Sour Space Candy, West Star Hemp Co,Wisconsin, Waukesha,330, Sep 1,2020,6.14,0.27,0.31,22.44
Sour Space Candy, Oregon CBD,Illinois, Warren,650, Sep 27,2020,7.34,0.07,0.51,101.53
Sour Space Candy, Hemp 4 heros (H4H),Wisconsin, Dodge,310, Aug 30,2020,3.11,0.14,0.22,22.03
Sour Space Candy, Oregon CBD,Illinois, Will,304, Sep 1,2020,5.85,0.28,0.1,21.27
Sour Space Candy, Hemp 4 heros (H4H),Wisconsin, Dodge,594, Sep 24,2020,5.95,0.23,0.32,25.63
Sour Space Candy, Oregon CBD,Illinois, Warren,543, Sep 14,2020,3.83,0.2,0.14,19.32
Special Sauce, West Star Hemp Co,Wisconsin, Waukesha,253, Aug 24,2020,3.7,0.17,0.21,22.15
Special Sauce, Oregon CBD,Illinois, Pike,237, Aug 17,2020,4.68,0.21,0.15,22.09
Special Sauce, West Star Hemp Co,Wisconsin, Waukesha,4, Sep 9,2020,8.9,0.37,0.45,24.29
Special Sauce, Oregon CBD,Wisconsin, Manitowoc,177, Oct 29,2020,14.26,0.5,0.29,28.34
Special Sauce, West Star Hemp Co,Wisconsin, Waukesha,331, Sep 1,2020,5.17,0.25,0.34,20.42
Special Sauce, Oregon CBD,Wisconsin, Manitowoc,163, Oct 19,2020,16.96,0.59,0.32,28.7
Special Sauce, Oregon CBD,Wisconsin, Manitowoc,321, Aug 30,2020,8.39,0.35,0.42,24.19
Special Sauce, Oregon CBD,Illinois, Pike,277, Aug 24,2020,7.67,0.36,0.35,21.6
StemCell CBG, Oregon CBD,Illinois, Pike,235, Aug 17,2020,0,0.05,4.42,0
StemCell CBG, Oregon CBD,Illinois, Pike,278, Aug 24,2020,0.04,0.06,7.01,0.62
Stormy, Blue Forest Farms,Wisconsin, Columbia,438, Sep 11,2020,3.63,0.18,0.03,20.42
Stormy, Blue Forest Farms,Wisconsin, Walworth,720, Oct 7,2020,6.82,0.23,0.45,29.28
Stormy, Blue Forest Farms,Wisconsin, Columbia,23, Sep 21,2020,3.81,0.15,0.31,25.71
Stormy, Blue Forest Farms,Wisconsin, Walworth,609, Sep 24,2020,4.65,0.19,0.39,24.36
Stormy, Blue Forest Farms,Wisconsin, Walworth,136, Oct 22,2020,7.15,0.25,0.14,28.58
Stormy, Blue Forest Farms,Wisconsin, Columbia,259, Aug 24,2020,2.08,0.11,0.12,18.15
Stray Kat SK1, High Plains Crop Production,Illinois, Jackson,198, Nov 10,2020,3.7,0.16,0.21,23.02
Superwoman, Trilogene Seeds,Illinois, Boone,93, Oct 7,2020,5.44,0.19,0.28,28.21
Superwoman, Trilogene Seeds,Illinois, Boone,174, Oct 28,2020,5.9,0.2,0.05,29.52
Superwoman, Trilogene Seeds,Illinois, Boone,599, Sep 23,2020,2.38,0.15,0.27,16.3
Superwoman, Trilogene Seeds,Illinois, Boone,535, Sep 16,2020,1.91,0.1,0.25,20.05
Suver Haze, Oregon CBD,Illinois, Pike,234, Aug 17,2020,6.22,0.29,0.24,21.64
Suver Haze, Oregon CBD,Wisconsin, Manitowoc,228, Aug 18,2020,3.34,0.15,0.22,22.04
Suver Haze, Oregon CBD,Wisconsin, Manitowoc,224, Aug 12,2020,3.27,0.16,0.2,20.81
Suver Haze, Oregon CBD,Wisconsin, Manitowoc,358, Sep 2,2020,9.84,0.38,0.44,25.97
Suver Haze, Oregon CBD,Wisconsin, Manitowoc,167, Oct 26,2020,17.99,0.63,0.39,28.43
Suver Haze, Oregon CBD,Wisconsin, Manitowoc,11, Sep 14,2020,11.66,0.45,0.49,26.13
Suver Haze, Oregon CBD,Wisconsin, Manitowoc,162, Oct 19,2020,17.49,0.34,0.66,51.4
Suver Haze, Oregon CBD,Wisconsin, Manitowoc,318, Aug 30,2020,7.04,0.3,0.39,23.69
Suver Haze, Oregon CBD,Wisconsin, Manitowoc,153, Oct 6,2020,11.9,0.42,0.46,28.34
Suver Haze, Oregon CBD,Illinois, Will,301, Sep 1,2020,5.01,0.25,1.47,20.36
Suver Haze, Oregon CBD,Illinois, Pike,279, Aug 24,2020,9.03,0.43,0.39,21.06
Sweet Wife, Trilogene Seeds,Illinois, Boone,92, Oct 7,2020,5.76,0.2,0.34,29.25
Sweet Wife, Trilogene Seeds,Illinois, Boone,173, Oct 28,2020,5.99,0.19,0.09,31.54
Sweet Wife, Trilogene Seeds,Illinois, Boone,598, Sep 23,2020,2.88,0.11,0.37,25.39
Sweet Wife, Tesoro Genetics,Illinois, Winnebago,587, Sep 24,2020,4.52,0.19,0.43,23.77
Sweet Wife, Trilogene Seeds,Illinois, Boone,537, Sep 16,2020,1.04,0.05,0.33,22.18
Sweetened, Whispering Creek,Illinois, Jefferson,494, Sep 11,2020,3.24,0.17,0.18,18.73
Sweetened, Whispering Creek,Illinois, Jefferson,197, Nov 10,2020,4.23,0.18,0.06,23.43
Sweetgrass x Cherry Wine, Old Country Hemp,Wisconsin, Trempealeau,449, Sep 14,2020,4.89,0.18,0.24,27.92
Sweetgrass x Cherry Wine, Old Country Hemp,Wisconsin, Trempealeau,697, Oct 5,2020,9.65,0.32,0.14,30.55
Sweetgrass x Cherry Wine, Old Country Hemp,Wisconsin, Trempealeau,633, Sep 28,2020,8.88,0.28,0.38,31.88
T1 (Trump), Whispering Creek,Illinois, Jefferson,496, Sep 11,2020,4.32,0.26,0.18,16.41
T1 (Trump), Green Lynx Farms,Wisconsin, Columbia,439, Sep 11,2020,6.64,0.27,0.23,24.64
T1 (Trump), Green Lynx Farms,Wisconsin, Columbia,26, Sep 21,2020,6.61,0.22,0.42,30.13
T1 (Trump), Old Country Hemp,Wisconsin, Marathon,411, Sep 9,2020,3.13,0.16,0.15,19.72
T1 (Trump), Green Lynx Farms,Wisconsin, Walworth,102, Oct 15,2020,6.24,0.2,0.29,30.95
T1 (Trump), Old Country Hemp,Wisconsin, Marathon,362, Sep 1,2020,3.11,0.13,0.13,23.69
T1 (Trump), London Tobacco Warehouse,Wisconsin, Kenosha,172, Oct 28,2020,12.4,0.43,0.18,28.58
T1 (Trump), London Tobacco Warehouse,Wisconsin, Kenosha,171, Oct 28,2020,6.76,0.25,0.48,27.11
T1 (Trump), London Tobacco Warehouse,Wisconsin, Kenosha,170, Oct 28,2020,8.65,0.31,0.12,28.24
T1 (Trump), Green Lynx Farms,Wisconsin, Walworth,675, Oct 1,2020,5.44,0.24,0.28,22.42
T1 (Trump), Old Country Hemp,Wisconsin, Marathon,85, Oct 3,2020,4.01,0.15,0.09,25.94
T1 (Trump), Old Country Hemp,Wisconsin, Green,81, Oct 7,2020,7.23,0.24,0.18,30.34
T1 (Trump), Old Country Hemp,Wisconsin, Green,581, Sep 23,2020,5.82,0.25,0.34,23.09
T1 (Trump), London Tobacco Warehouse,Wisconsin, Kenosha,549, Sep 18,2020,4.72,0.25,0.29,18.68
T1 (Trump), London Tobacco Warehouse,Wisconsin, Kenosha,548, Sep 18,2020,2.43,0.13,0.24,19.4
T1 (Trump), London Tobacco Warehouse,Wisconsin, Kenosha,547, Sep 18,2020,5.82,0.25,0.27,23
T1 (Trump), Green Lynx Farms,Wisconsin, Columbia,265, Aug 24,2020,2.15,0.11,0.08,18.96
T1 (Trump), Green Lynx Farms,Wisconsin, Walworth,518, Sep 17,2020,4.4,0.19,0.38,23.55
T2, PRICELAND HEMP,Wisconsin, Wood,63, Oct 5,2020,8.38,0.32,0.35,25.86
T2, Boring Hemp Co,Illinois, Peoria,710, Oct 7,2020,8.26,0.31,0.18,26.74
T2, Boring Hemp Co,Illinois, Peoria,649, Sep 30,2020,8.36,0.33,0.27,24.97
T2, PRICELAND HEMP,Wisconsin, Wood,165, Oct 20,2020,8.49,0.3,0.1,28.77
T2, PRICELAND HEMP,Wisconsin, Wood,550, Sep 18,2020,4.05,0.17,0.25,23.53
The Grand, Boring Hemp Co,Wisconsin, Columbia,464, Sep 14,2020,3.54,0.14,0.13,25.21
The Grand, Boring Hemp Co,Wisconsin, Columbia,52, Sep 28,2020,8.18,0.29,0.3,27.98
The Grand, Boring Hemp Co,Wisconsin, Walworth,715, Oct 7,2020,6.94,0.25,0.32,27.34
The Grand, Boring Hemp Co,Wisconsin, Columbia,337, Sep 1,2020,1.72,0.11,0.06,15.96
The Grand, Boring Hemp Co,Wisconsin, Walworth,614, Sep 24,2020,4.9,0.19,0.33,25.31
The Grand, Boring Hemp Co,Wisconsin, Walworth,139, Oct 22,2020,8.45,0.28,0.12,29.68
The Grand, West Star Organics,Wisconsin, Sauk,553, Sep 21,2020,5.91,0.24,0.33,24.33
The Grand, West Star Organics,Wisconsin, Sauk,512, Sep 17,2020,7.45,0.29,0.29,25.34
The Wife's Wine #2, BC Hemp,Indiana, Monroe,500, Sep 14,2020,8.6,0.35,0.19,24.53
The Wife's Wine #2, BC Hemp,Indiana, Monroe,402, Sep 7,2020,7.39,0.33,0.32,22.49
The Wife's Wine #2, BC Hemp,Indiana, Monroe,352, Aug 31,2020,3.8,0.18,0.11,21.54
The Wife's Wine #2, BC Hemp,Indiana, Monroe,690, Sep 29,2020,12.12,0.5,0.33,24.16
The Wife's Wine #2, BC Hemp,Indiana, Monroe,584, Sep 22,2020,10.48,0.42,0.45,25.05
The Wife's Wine #2, BC Hemp,Indiana, Monroe,285, Aug 24,2020,2.06,0.11,0.1,18.05
Therapy, Hemp 4 heros (H4H),Wisconsin, Dodge,100, Oct 15,2020,2.95,0.12,0.04,25.59
Therapy, Hemp 4 heros (H4H),Wisconsin, Dodge,169, Oct 28,2020,3.26,0.13,0.06,25.29
Therapy, Hemp 4 heros (H4H),Wisconsin, Dodge,314, Aug 30,2020,1.44,0.08,0.13,18.26
Therapy, Hemp 4 heros (H4H),Wisconsin, Dodge,593, Sep 24,2020,3.02,0.12,0.2,25.95
Trump Wine #1, BC Hemp,Indiana, Monroe,501, Sep 14,2020,6.05,0.3,0.26,20.48
Trump Wine #1, BC Hemp,Indiana, Monroe,403, Sep 7,2020,4.18,0.19,0.21,22.38
Trump Wine #1, BC Hemp,Indiana, Monroe,353, Aug 31,2020,2.17,0.1,0.11,20.84
Trump Wine #1, BC Hemp,Indiana, Monroe,691, Sep 29,2020,10.52,0.43,0.26,24.36
Trump Wine #1, BC Hemp,Indiana, Monroe,586, Sep 22,2020,8.76,0.36,0.33,24.54
Trump Wine #1, BC Hemp,Indiana, Monroe,286, Aug 24,2020,1.7,0.09,0,19.88
Trump Wine #3, BC Hemp,Indiana, Monroe,502, Sep 14,2020,5.57,0.26,0.22,21.66
Trump Wine #3, BC Hemp,Indiana, Monroe,404, Sep 7,2020,4.04,0.2,0.18,20.08
Trump Wine #3, BC Hemp,Indiana, Monroe,354, Aug 31,2020,1.45,0.11,0.09,13.59
Trump Wine #3, BC Hemp,Indiana, Monroe,692, Sep 29,2020,11.94,0.5,0.26,24.02
Trump Wine #3, BC Hemp,Indiana, Monroe,585, Sep 22,2020,8,0.35,0.36,22.53
Trump Wine #3, BC Hemp,Indiana, Monroe,287, Aug 24,2020,1.01,0.09,0.04,10.62
Umpqua, Illinois Hemp Project,Illinois, Kendall,40, Sep 19,2020,11.45,0.5,0.2,22.75
White CBG, Oregon CBD,Wisconsin, Marquette,252, Aug 24,2020,0,0.04,2.65,0
White CBG, Oregon CBD,Wisconsin, Manitowoc,229, Aug 18,2020,0,0.05,3.14,0
White CBG, Oregon CBD,Wisconsin, Marquette,448, Sep 14,2020,0,0.12,7.79,0
White CBG, Oregon CBD,Wisconsin, Trempealeau,453, Sep 15,2020,0,0.08,5.36,0
White CBG, Oregon CBD,Wisconsin, Manitowoc,451, Sep 14,2020,0,0.12,9.08,0
White CBG, Oregon CBD,Wisconsin, Manitowoc,3, Sep 9,2020,0.06,0.24,7.94,0.24
White CBG, Oregon CBD,Wisconsin, Green,413, Sep 10,2020,0.04,0.08,5.71,0.46
White CBG, Oregon CBD,Wisconsin, Dane,12, Sep 14,2020,0,0.09,6.6,0
White CBG, Oregon CBD,Wisconsin, Trempealeau,381, Sep 8,2020,0,0.05,6.4,0
White CBG, Oregon CBD,Wisconsin, Trempealeau,191, Nov 10,2020,0,0.09,5.02,0
White CBG, Oregon CBD,Wisconsin, Manitowoc,185, Nov 3,2020,0.39,0.16,9.3,2.45
White CBG, Oregon CBD,Wisconsin, Dane,372, Sep 7,2020,0,0.12,7.6,0
White CBG, Oregon CBD,Wisconsin, Manitowoc,164, Oct 19,2020,0.04,0.18,13.69,0.25
White CBG, Oregon CBD,Wisconsin, Marquette,182, Nov 2,2020,0,0.32,10.48,0
White CBG, Oregon CBD,Wisconsin, Trempealeau,648, Sep 29,2020,0,0.16,8.32,0
White CBG, Oregon CBD,Wisconsin, Dane,315, Aug 31,2020,0.04,0.06,5.44,0.58
White CBG, Oregon CBD,Illinois, Kendall,620, Sep 19,2020,0.05,0.14,9.76,0.35
White CBG, Oregon CBD,Illinois, Will,305, Sep 1,2020,5.7,0.11,3.88,54.02
White CBG, Oregon CBD,Illinois, Kendall,300, Aug 21,2020,0,0.05,3.95,0
White CBG, Oregon CBD,Wisconsin, Manitowoc,83, Oct 6,2020,0.03,0.11,9.58,0.25
White CBG, Oregon CBD,Wisconsin, Dane,256, Aug 25,2020,0,0.05,2.98,0
White CBG, Oregon CBD,Wisconsin, Dane,155, Oct 7,2020,0,0.15,8.61,0
Wife, Alterra,Wisconsin, Fond du Lac,388, Sep 9,2020,1.89,0.13,0.09,15.04
Wife, Alterra,Wisconsin, Fond du Lac,250, Aug 20,2020,2.05,0.12,0.13,17.49
Wife, Blue Forest Farms,Michigan, Muskegon,752, Oct 17,2020,9.07,0.37,0.17,24.79
Wife, Alterra,Wisconsin, Fond du Lac,730, Oct 13,2020,6.23,0.25,0.33,25.38
Wife, Blue Forest Farms,Michigan, Muskegon,596, Sep 22,2020,5.6,0.2,0.3,27.96
Wife, Alterra,Wisconsin, Fond du Lac,221, Aug 11,2020,2.27,0.12,0.14,19.54
Willy, West Star Organics,Wisconsin, Sauk,511, Sep 16,2020,2.2,0.13,0.16,16.9
Z-lights, High Alpine Genetics,Indiana, Delaware,475, Sep 14,2020,6.92,0.29,0.28,23.77
Z-lights, High Alpine Genetics,Indiana, Delaware,396, Sep 8,2020,3.65,0.16,0.17,22.17
Z-lights, High Alpine Genetics,Indiana, Delaware,269, Aug 24,2020,1.75,0.1,0.03,18.18
